Colgate-Palmolive Depreciation Capex,,,,,Historicals,,,Forecasts,,,,,
,,,,,,,,,,,,,
(all data in ₹ Lakhs),,,,,2023,2024,2025,2026,2027,2028,2029,2030,
,,,,,,,,,,,,,
PPE,,,,,"96,297","86,180","79,407","77,646","72,927","69,688","67,921","67,057",
,,,,,,,,,,,,,
Dep,,,,,"17,480","17,151","16,274","13,200","12,398","11,847","11,547","11,400",
Depreciation as % of PPE,,,,,18%,20%,20%,17%,17%,17%,17%,17%,
,,,,,,,,,,,,,
Beginning PPE,,,,,96297,"86,180","79,407","77,646","72,927","69,688","67,921","67,057",
Capital Expenditure,,,,,,,,"8,480","9,159","10,080","10,683","11,537",
Depreciation,,,,,"17,480","17,151","16,274","13,200","12,398","11,847","11,547","11,400",
Net PPE,,,,,"86,180","79,407","77,646","72,927","69,688","67,921","67,057","67,195",
,,,,,,,,,,,,,
Capex ,2023,2024,2025,,,,,,,,,,
,"7,009","7,556","7,142",,,,,,,,,,
Capex % as of Revenue,,,,,,,,,,,,,
,1.33%,1.31%,1.16%,,,,,,,,,,
,,,,,,,,,,,,,
,For forecasts Average Capex has been taken as,,,,1.30%,,,,,,,,
