Colgate-Palmolive  Income Statement,,,,,,Historicals,,,Forecasts,,,,
,,,,,,,,,,,,,
(all data in ₹ lakhs),,,,,,2023,2024,2025,2026,2027,2028,2029,2030
Revenue from Operations,,,,,,"5,22,620","5,68,043","6,04,017","6,52,338","7,04,525","7,60,887","8,21,758","8,87,499"
Other Income,,,,,,"5,358","7,652","13,884","14,092","14,304","14,518","14,736","14,957"
(A) Total Income,,,,,,"5,27,977","5,75,695","6,17,901","6,66,431","7,18,829","7,75,406","8,36,494","9,02,456"
Expenses,,,,,,,,,,,,,
Cost of Material Consumed,,,,,,"1,49,250","1,45,759","1,57,911","1,69,608","1,83,177","1,97,831","2,13,657","2,30,750"
Purchase of Stock-in-Trade,,,,,,"29,777","24,491","30,986","32,617","35,226","38,044","41,088","44,375"
Changes in Inventories,,,,,,392,"2,048","-7,070",-503,"-3,058","-3,303","-3,567","-3,853"
Employee Benefits Expense,,,,,,"37,697","41,173","44,678","45,664","48,860","52,280","55,940","59,856"
Other Expenses,,,,,,"1,50,802","1,64,490","1,81,706","1,82,655","1,97,267","2,13,048","2,30,092","2,48,500"
(B) Total Expense,,,,,,"3,67,917","3,77,961","4,08,211","4,30,041","4,61,472","4,97,901","5,37,210","5,79,628"
Profit Before Exceptional Item and Tax,,,,,,"1,60,060","1,97,734","2,09,690","2,36,390","2,57,357","2,77,505","2,99,284","3,22,828"
Exceptional Items,,,,,,"1,121","1,950",0,0,0,0,0,0
(C) EBITDA,,,,,,"1,58,939","1,95,784","2,09,690","2,36,390","2,57,357","2,77,505","2,99,284","3,22,828"
Depreciation and Amortisation,,,,,,"17,480","17,151","16,274","13,200","12,398","11,847","11,547","11,400"
(D) EBIT ,,,,,,"1,41,459","1,78,633","1,93,416","2,23,190","2,44,960","2,65,658","2,87,738","3,11,429"
Finance Cost,,,,,,491,500,432,554,599,647,698,754
(E) PBT,,,,,,"1,40,967","1,78,133","1,92,984","2,22,636","2,44,361","2,65,011","2,87,039","3,10,674"
Total Tax Expense,,,,,,"36,253","45,767","49,303","56,772","62,312","67,578","73,195","79,222"
PAT,,,,,,"1,04,715","1,32,367","1,43,681","1,65,864","1,82,049","1,97,433","2,13,844","2,31,452"
,,,,,,,,,,,,,
Drivers,,,,,,,,,,,,,
Revenue % growth,,,,,,,9%,6%,8%,8%,8%,8%,8%
other income,,,,,,1.03%,1.35%,2.30%,1.50%,1.50%,1.50%,1.50%,1.50%
,,,,,,,,,,,,,
Expenses ( as % of Revenue),,,,,,,,,,,,,
Cost of Material Consumed,,,,,,28.56%,25.66%,26.14%,26.00%,26.00%,26.00%,26.00%,26.00%
Purchase of Stock-in-Trade,,,,,,5.70%,4.31%,5.13%,5.00%,5.00%,5.00%,5.00%,5.00%
Employee Benefits Expense,,,,,,7.21%,7.25%,7.40%,7.00%,7.00%,7.00%,7.00%,7.00%
Other Expenses,,,,,,28.86%,28.96%,30.08%,28.00%,28.00%,28.00%,28.00%,28.00%
,,,,,,,,,,,,,
Finance Cost as % of Revenue,,,,,,0.09%,0.09%,0.07%,0.09%,0.09%,0.09%,0.09%,0.09%
Tax %,,,,,,25.72%,25.69%,25.55%,25.50%,25.50%,25.50%,25.50%,25.50%
