Colgate-Palmolive Working Capital,,,,,Historicals,,,Forecasts,,,,
,,,,,,,,,,,,
(all data in ₹ Lakhs),,,,,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,
Working Capital Balances,,,,,,,,,,,,
Accounts Receivables,,,,,"15,737","16,739","22,625","21,447","23,162","25,015","27,017","29,178"
Inventory,,,,,"33,545","29,641","37,726","38,229","41,287","44,590","48,157","52,010"
Accounts Payables,,,,,"76,112","88,191","92,079","83,106","89,755","96,935","1,04,690","1,13,065"
,,,,,,,,,,,,
Total Revenue,,,,,"5,22,620","5,68,043","6,04,017","6,52,338","7,04,525","7,60,887","8,21,758","8,87,499"
Operating Costs,,,,,"1,79,026","1,70,250","1,88,897","2,02,225","2,18,403","2,35,875","2,54,745","2,75,125"
,,,,,,,,,,,,
Turnover Ratios ,,,,,,,,,,,,
Receivables turnover = (Sales / Accounts Receivables),,,,,33.2,33.9,26.7,30.4,30.4,30.4,30.4,30.4
Inventory turnover (COGS / Inventory),,,,,5.3,5.7,5.0,5.3,5.3,5.3,5.3,5.3
Payables turnover (COGS / Payables),,,,,2.4,1.9,2.1,2.4,2.4,2.4,2.4,2.4
,,,,,,,,,,,,
Receivables collection period (365/receivables turnover),,,,,11.0,10.8,13.7,12.0,12.0,12.0,12.0,12.0
Inventory processing period (365/inventory turnover),,,,,68.4,63.5,72.9,69.0,69.0,69.0,69.0,69.0
Payment period (365/payables turnover),,,,,155.2,189.1,177.9,150.0,150.0,150.0,150.0,150.0
Cash Collection Cycle,,,,,-75.8,-114.8,-91.4,-69.0,-69.0,-69.0,-69.0,-69.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
